,id,book_id,work_id,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
52,53,113436,3178011,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032
53,54,11,3078186,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345,21764,41962,145173,299579,498001
54,55,5129,3204877,Aldous Huxley,1932.0,Brave New World,eng,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166
55,56,1162543,2960529,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,1107709,44550,100994,114893,213402,267706,410714
56,57,37435,3275013,Sue Monk Kidd,2001.0,The Secret Life of Bees,en-US,4.01,916189,937393,26522,17500,45455,185631,347540,341267
57,58,2956,1835605,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,28467,76630,255722,344356,296316
58,59,24178,987048,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763
59,60,1618,4259809,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,915790,35796,21049,58117,218218,355925,262481
60,61,22557272,41107568,Paula Hawkins,2015.0,The Girl on the Train,eng,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551
61,62,119322,1536771,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030
62,63,6185,1565818,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng,3.82,899195,1001135,26157,46469,84084,215320,309180,346082
63,64,10917,1639903,Jodi Picoult,2004.0,My Sister's Keeper,eng,4.06,863879,887880,30719,17547,42763,162573,314003,350994
64,65,4981,1683562,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,eng,4.06,846488,891762,19646,24964,45518,152442,300948,367890
65,66,18405,3358283,Margaret Mitchell,1936.0,Gone with the Wind,eng,4.28,873981,897303,16050,19996,33136,116160,234290,493721
66,67,128029,3271379,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,6509,18015,99030,295817,446694
67,68,22628,2236198,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116,14286,38658,143440,297501,461020
68,69,11735983,15524542,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873,10641,44620,182131,339977,369969
69,70,375802,2422333,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,15330,27612,103439,264207,462829
70,71,18490,4836639,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,eng,3.75,808589,883563,19993,29366,74142,231022,300495,248538
71,72,11588,849585,Stephen King,1977.0,The Shining (The Shining #1),eng,4.17,791850,830881,14936,18487,28981,123862,277393,382158
72,73,1656001,3328799,Stephenie Meyer,2008.0,"The Host (The Host, #1)",en-US,3.84,749780,777560,39778,44215,62501,154906,227180,288758
73,74,99561,919292,John Green,2005.0,Looking for Alaska,eng,4.09,783470,831285,47128,16940,44232,147324,262932,359857
74,75,227443,3185154,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,28973,59309,198555,254836,212825
75,76,14935,2809709,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng,4.06,738894,779382,11526,18430,34699,141987,272512,311754
76,77,38709,1679789,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257
77,78,5139,38765,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,24231,58323,192366,226675,178250
78,79,1381,3356006,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,eng,3.73,670326,710757,8101,29703,65629,183082,224120,208223
79,80,157993,2180358,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,eng,4.28,738757,859286,24537,15039,32866,114714,228440,468227
80,81,7445,2944133,Jeannette Walls,2005.0,The Glass Castle,eng,4.24,621099,637866,40777,7901,18922,85191,227750,298102
81,82,1845,3284484,Jon Krakauer,1996.0,Into the Wild,eng,3.94,647684,665377,17299,19229,35567,135199,248287,227095
82,83,1953,2956372,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng,3.81,637412,677713,13093,28904,55555,153305,216378,223571
83,84,7677,3376836,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,15736,34222,138327,231583,230615
84,85,370493,30530,Shel Silverstein,1964.0,The Giving Tree,eng,4.38,702332,708287,14368,15345,20408,76071,167542,428921
85,86,32542,1804929,John Grisham,1989.0,A Time to Kill,eng,4.03,597775,608824,4239,12106,25938,122675,218617,229488
86,87,1617,265616,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),eng,4.3,691231,707879,22001,7761,18539,90575,230227,360777
87,88,6442769,3364505,John Green,2008.0,Paper Towns,en-US,3.88,461311,655271,42717,14105,47183,154479,223895,215609
88,89,21787,992628,William Goldman,1973.0,The Princess Bride ,en-US,4.25,628637,658042,15630,12883,21641,89236,196047,338235
89,90,231804,1426690,S.E. Hinton,1967.0,The Outsiders,en-US,4.06,659248,680437,22662,10178,34346,134244,227250,274419
90,91,6186357,6366642,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,48942,15291,43370,150488,266698,302109
91,92,1202,5397,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,549301,13668,14586,26538,115789,216316,176072
92,93,2998,3186437,Frances Hodgson Burnett,1911.0,The Secret Garden,eng,4.12,639357,692249,13054,8005,25207,129646,243821,285570
93,94,320,3295655,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,eng,4.04,490565,575667,21671,27340,37646,87675,155809,267197
94,95,5297,1858012,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng,4.06,590014,674551,19647,9825,30735,129420,246892,257679
95,96,13536860,18034963,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,610116,25287,39079,55691,109963,140304,265079
96,97,17245,3165724,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng,3.98,618973,689739,17263,11756,36719,151396,246043,243825
97,98,5060378,6976108,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,31423,4623,15781,91021,258236,279592
98,99,11857408,16813814,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,37245,58935,114203,150906,262051
99,100,7244,810663,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,4.02,546502,562787,19941,21699,33702,92590,175725,239071
100,101,4137,1030767,David Sedaris,2000.0,Me Talk Pretty One Day,eng,3.97,495736,514276,14982,19718,29034,93427,178021,194076
101,102,19543,3020535,Maurice Sendak,1963.0,Where the Wild Things Are,eng,4.22,620618,636061,9102,15392,27532,93700,167043,332394
102,103,7126,391568,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,eng,4.21,555822,601220,15925,10381,22482,89980,183142,295235
103,104,6288,3355573,Cormac McCarthy,2006.0,The Road,eng,3.95,504793,555787,38980,20086,36561,100989,190823,207328
104,105,18710190,15524549,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,62536,31626,78366,176061,192785,184388
105,106,9418327,14302659,Tina Fey,2011.0,Bossypants,eng,3.94,506250,609260,35142,14842,31761,129390,230080,203187
106,107,3473,3143497,Nicholas Sparks,1999.0,A Walk to Remember,en-US,4.15,546948,559581,11071,10640,24094,94327,169650,260870
107,108,9416,3237433,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170,30705,56949,156636,166927,146787
108,109,24280,3208463,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng,4.14,513407,560132,12505,15225,25914,87461,167385,264147
109,110,10572,3272005,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,1788,7104,56167,221706,320000
110,111,10441,2868431,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027,19453,47004,145437,183150,115538
111,112,15507958,17763198,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412,10346,21880,91517,249474,367916
112,113,168668,814330,Joseph Heller,1961.0,Catch-22,en-US,3.98,563265,582515,13734,20639,37912,106269,186745,230950
113,114,6900,1995335,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng,4.06,556518,584397,19272,11507,30534,107446,194448,240462
114,115,2187,1352495,Jeffrey Eugenides,2002.0,Middlesex,en-US,3.98,488243,507998,20880,19329,30503,89740,171099,197327
115,116,24583,41326609,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192
116,117,18131,948387,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933
117,118,7763,1955658,Amy Tan,1989.0,The Joy Luck Club,eng,3.9,515090,525243,6708,14802,30197,116748,195930,167566
118,119,38447,1119185,Margaret Atwood,1985.0,The Handmaid's Tale,eng,4.06,607889,683564,35925,13998,32561,116975,252942,267088
119,120,452306,1058370,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784
120,121,7604,1268631,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng,3.88,469836,517990,18107,21091,37205,108664,165477,185553
121,122,37442,1479280,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926,40802,65835,132061,153583,133217
122,123,5358,38270,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,5075,20119,111543,190966,160652
123,124,7937843,9585076,Emma Donoghue,2010.0,Room,eng,4.03,511360,556327,42254,11020,26079,99831,217995,201402
124,125,1420,1885548,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807
125,126,234225,3634639,Frank Herbert,1965.0,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,13354,22778,74206,154771,260867
126,127,2612,2124255,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,15111,25871,106453,189120,162511
127,128,11084145,16005831,Walter Isaacson,2011.0,Steve Jobs,eng,4.09,560715,579256,15198,19680,21986,88456,203975,245159
128,129,332613,2100252,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855,5672,15978,78714,191622,222472
129,130,2165,69741,Ernest Hemingway,1952.0,The Old Man and the Sea,eng,3.73,520630,574328,16716,28645,52583,136217,186747,170136
130,131,4395,2931549,John Steinbeck,1939.0,The Grapes of Wrath,eng,3.92,322321,553352,12991,23552,40261,103475,173589,212475
131,132,3431,2561472,Mitch Albom,2003.0,The Five People You Meet in Heaven,eng,3.9,449501,474699,16682,12360,33669,107800,155830,165040
132,133,8127,3464264,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976
133,134,3777732,3443248,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,630560,22736,6646,17351,79202,179290,348071
134,135,62291,1164465,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,527644,19497,1456,4820,36418,149268,335682
135,136,137791,1010054,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,470508,3867,15795,35314,120396,158451,140552
136,137,10964,2489796,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707,20998,27673,73126,147085,309960
137,138,12296,4925227,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209
138,139,9460487,14345371,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,672222,53569,14920,45434,159227,234792,217849
139,140,6892870,12883496,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766,3823,14773,78387,203297,226511
140,141,18007564,21825181,Andy Weir,2012.0,The Martian,eng,4.39,423344,529702,61298,4114,10856,49200,173861,291671
141,142,5043,3359698,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283,9248,16886,57825,148052,263882
142,143,18143977,25491300,Anthony Doerr,2014.0,All the Light We Cannot See,eng,4.31,470001,547827,53413,6209,14527,61020,185239,280832
143,144,8664353,12946965,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,41572,10308,12874,47828,144203,313339
144,145,976,3135896,Dan Brown,2001.0,Deception Point,eng,3.67,455610,479733,7798,14380,45006,143182,160819,116346
145,146,17333223,24065147,Donna Tartt,2013.0,The Goldfinch,eng,3.87,396756,463847,44631,19164,35300,93459,153459,162465
146,147,1217100,2588213,Jay Asher,2007.0,Thirteen Reasons Why,eng,4.02,463783,571281,43467,15246,35668,105414,179197,235756
147,148,2865,3358875,Tracy Chevalier,1999.0,Girl with a Pearl Earring,eng,3.85,467577,492177,8011,11525,28287,123463,189656,139246
148,149,4374400,4422413,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959,12666,34896,122977,190793,205755
149,150,4989,1041558,Anita Diamant,1997.0,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075
150,151,28186,43554,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546
151,152,5526,3222389,Nicholas Sparks,2006.0,Dear John,en-US,4.01,441062,454781,10626,9683,25220,94711,145202,179965
152,153,1582996,1575860,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643,6135,20075,92626,192934,274238
153,154,8852,1896522,William Shakespeare,1606.0,Macbeth,eng,3.88,496018,524826,7609,10551,35408,127354,183871,167642
154,155,15241,2963845,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980,3013,10264,55433,156232,307267
155,156,42156,1789440,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567,16019,29297,104322,148507,137044
156,157,23772,86934,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,en-US,4.29,457475,461041,7370,6605,14530,66873,121751,251282
157,158,6310,2765786,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,6236,17193,94240,178216,198862
158,159,2120932,2377629,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098,2435,8093,62108,172289,292783
159,160,2623,2612809,Charles Dickens,1860.0,Great Expectations,eng,3.75,459247,507187,12311,22811,44293,120385,170702,148996
160,161,18512,2964424,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,510537,6644,2691,8008,42693,132149,324996
161,162,49552,3324344,"Albert Camus, Matthew    Ward",1942.0,The Stranger,eng,3.96,420600,483623,14836,10563,28920,100140,174957,169043
162,163,7736182,10107891,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,17107,5020,11267,58590,148498,266120
163,164,15745753,17225055,Rainbow Rowell,2013.0,Eleanor & Park,eng,4.11,514312,579753,53005,12904,26371,94470,196224,249784
164,165,13497,1019062,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186,481130,18876,3170,18574,94401,175973,189012
165,166,7735333,9631645,Ally Condie,2010.0,"Matched (Matched, #1)",eng,3.68,511815,530680,30226,24343,53804,138030,165412,149091
166,167,4407,1970226,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",eng,4.11,378019,518343,27587,9888,24944,83253,178346,221912
167,168,149267,1742269,"Stephen King, Bernie Wrightson",1978.0,The Stand,en-US,4.34,438832,469953,13808,5647,13612,56722,134098,259874
168,169,6400090,6588800,Nicholas Sparks,2008.0,The Last Song,en-GB,4.14,424637,438429,11051,7253,17803,77712,140241,195420
169,170,11125,40195,Dan Brown,1998.0,Digital Fortress,en-GB,3.6,423019,447503,7538,16592,47507,136196,144029,103179
170,171,6969,3360164,"Jane Austen, Fiona Stafford",1815.0,Emma,eng,3.99,459826,497949,11724,11386,25777,102144,178238,180404
171,172,15823480,2507928,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,eng,4.02,297472,472796,18064,11738,26945,88365,158179,187569
172,173,227463,23596,Anthony Burgess,1962.0,A Clockwork Orange,eng,3.98,431195,454391,9958,14741,24244,84863,163488,167055
173,174,1812457,2666268,William Paul Young,2007.0,The Shack,eng,3.74,419539,438292,29377,35734,42977,84751,111923,162907
174,175,4502507,4551489,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,17693,2098,6501,45208,133168,312535
175,176,18342,150259,Stephen King,1986.0,It,en-US,4.18,292592,479381,11698,8464,19610,75841,148672,226794
176,177,7144,3393917,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,eng,4.18,380903,444675,12605,9477,20078,64050,137104,213966
177,178,6514,1385044,Sylvia Plath,1963.0,The Bell Jar,en-US,3.98,401605,442157,15963,8266,23983,92408,162216,155284
178,179,252577,2883783,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,419746,9798,7657,18327,73550,155775,164437
179,180,52036,4840290,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,eng,3.99,372099,418653,11518,10229,25529,83698,138837,160360
180,181,168642,1940709,Truman Capote,1965.0,In Cold Blood,eng,4.05,381652,401839,11754,10639,17836,70857,144616,157891
181,182,6304335,6488966,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,458518,20808,19917,43525,113352,132492,149232
182,183,7171637,6674837,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,515759,24385,8364,15544,61409,140928,289514
